n, p, P
1, 0.313165528843603018394583, 0.858407346410206884002037
2, 0.0801251946690749421702735, 0.172115845394967274415547
3, 0.0201475013317408304254035, 0.0410052244847349945875965
4, 0.00504416304385385218369347, 0.0101322538394629824723565
5, 0.00126149663504020368082347, 0.00252573165611114674401653
6, 0.000315402657020247935923469, 0.000630976352663729388256531
7, 0.0000788524454920396694234685, 0.000157715579173343109266531
8, 0.0000197132227017318621334685, 0.0000394271133886897207665315
9, 0.00000492831263341536907346854, 0.00000985666701583076574653146
10, 0.00000123207859314199994346854, 0.00000246415979593435516653146
11, 3.08019675373657553468544E-7, 6.16039514194791536531456E-7
12, 7.70049204503163134685442E-8, 1.54009851460530336531456E-7
13, 1.92512301269024334685442E-8, 3.85024612582305065314558E-8
14, 4.81280744651281346854419E-9, 9.62561530023426653145581E-9
15, 1.20320177019439346854419E-9, 2.40640391027137653145581E-9
16, 3.00800350725973468544185E-10, 6.01601069001656531455815E-10
17, 7.51999958345834685441852E-11, 1.50400359073046531455815E-10
18, 1.87999071102134685441852E-11, 3.76001816151865314558148E-11
19, 4.69988492901346854418516E-12, 9.40013725223653145581484E-12
20, 1.17487938370346854418516E-12, 2.35012616159653145581484E-12
21, 2.93627997393468544185162E-13, 5.87623388946531455814838E-13
22, 7.33151508034685441851616E-14, 1.46997695776531455814838E-13
23, 1.82369391634685441851616E-14, 3.68412724965314558148384E-14
24, 4.46738624346854418516159E-15, 9.30216666653145581483841E-15
25, 1.02499801346854418516159E-15, 2.41739021653145581483841E-15
26, 1.64400963468544185161591E-16, 6.96196096531455814838409E-16
27, 5.07482965314558148384094E-17, 2.65897566531455814838409E-16
28, 1.04535616531455814838409E-16, 1.58322936531455814838409E-16
29, 1.17982456531455814838409E-16, 1.31429276531455814838409E-16
30, 1.21344166531455814838409E-16, 1.24705866531455814838409E-16
31, 1.22184596531455814838409E-16, 1.23025016531455814838409E-16
32, 1.22394686531455814838409E-16, 1.22604806531455814838409E-16
33, 1.22447216531455814838409E-16, 1.22499756531455814838409E-16
34, 1.22460346531455814838409E-16, 1.22473476531455814838409E-16
35, 1.22463616531455814838409E-16, 1.22466906531455814838409E-16
36, 1.22464436531455814838409E-16, 1.22465266531455814838409E-16
37, 1.22464636531455814838409E-16, 1.22464856531455814838409E-16
38, 1.22464686531455814838409E-16, 1.22464746531455814838409E-16
39, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
40, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
41, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
42, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
43, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
44, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
45, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
46, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
47, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
48, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
49, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
50, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
51, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
52, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
53, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
54, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
55, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
56, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
57, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
58, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
59, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
60, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
61, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
62, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
63, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
64, 1.22464706531455814838409E-16, 1.22464716531455814838409E-16
