n, p
1, 0.3131655288436032691379296011291444301605224609375
2, 0.0801251946690753524552151858835704775333976098857
3, 0.0201475013317412659815657797545430663057506072988
4, 0.0050441630438542941345043468140962276548243849288
5, 0.0012614966350406472351298922003232143187111018414
6, 0.0003154026570206918914021805943073881957433355083
7, 0.0000788524454924837252191583925152907873356391424
8, 0.0000197132227021759430133544607306192096525361745
9, 0.0000049283126338594562290875181606672214771319364
10, 0.0000012320785935860886790624619181198154888249706
11, 3.080196758177466667013292085328190421123688E-7
12, 7.70049208944055345705876696446150924813261E-8
13, 1.92512305709916868910336209016815355681202E-8
14, 4.8128078906020633083432722814164338557628E-9
15, 1.2032022142836472873022491600925067201816E-9
16, 3.008007948152301488714142376090315974460E-10
17, 7.52004399238250434353091247531231860408E-11
18, 1.88003511994549657744262728706307457298E-11
19, 4.7003290182675212778382459239673261326E-12
20, 1.1753234729647273361057620934067142271E-12
21, 2.940720866386580495735485055672583668E-13
22, 7.37592400571175528718018137983784866E-14
23, 1.86810284117309802545717763949755520E-14
24, 4.9114755003842465726524129827520982E-15
25, 1.4690872725475574941948074602931510E-15
26, 6.084902155883848709635855050120013E-16
27, 3.933409513485916930354235344474872E-16
28, 3.395536352886433970459859634506017E-16
29, 3.261068062736563229774852922627366E-16
30, 3.227450990199095549854277372634477E-16
31, 3.219046722064728682634036659901994E-16
32, 3.216945655031136580493699219325988E-16
33, 3.216420388272737857684642285542211E-16
34, 3.216289071583140232105731721737142E-16
35, 3.216256242410756679519721889359722E-16
36, 3.216248035117599724850751170991534E-16
37, 3.216245983294620516220655071107850E-16
38, 3.216245470338236864289616882600676E-16
39, 3.216245342101696350400913989703960E-16
40, 3.216245310027529462551934418075342E-16
41, 3.216245301984936925586803367720961E-16
42, 3.216245299983909117346675068111258E-16
43, 3.216245299983909117346675068111258E-16
44, 3.216245295058302204755590022918146E-16
45, 3.216245304909516029937760113304372E-16
46, 3.216245344314371330666440474849307E-16
47, 3.216245344314371330666440474849307E-16
48, 3.216244083359001707348668905435927E-16
49, 3.216241561448262460713125766761004E-16
50, 3.216231473805305474170953214085772E-16
51, 3.216231473805305474170953214085772E-16
52, 3.215908669230681904821433238743549E-16
53, 3.215263060081434766122403238692894E-16
54, 3.217845496678423320918602843965851E-16
55, 3.207515750290469101735078103999388E-16
56, 3.124877779186835348389153572303244E-16
57, 2.959601836979567842349429245100576E-16
58, 2.959601836979567842349429245100576E-16
59, 2.329228313652991891825934947890079E-16
60, 2.3484548916183221924850993610872105E-15
61, 6.5795190121243639253254400013822834E-15
62, 2.35037754941484738731578546656335718E-14
63, 9.12008014222440019280243469975609400E-14
64, 6.327770088469557103466779157962473741E-13
